Site ID,Site Name,Country,Hub,IGBP,Years,Length
US-AR1,ARM USDA UNL OSU Woodward Switchgrass 1,USA,AmeriFlux,GRA,2009-2012,4
US-AR2,ARM USDA UNL OSU Woodward Switchgrass 2,USA,AmeriFlux,GRA,2009-2012,4
US-CRK,Davy Crockett National Forest,USA,AmeriFlux,ENF,2022-2025,4
US-DFK,Dairy Forage Research Center - Kernza,USA,AmeriFlux,CRO,2018-2021,4
US-DS2,Staten Corn 2,USA,AmeriFlux,CRO,2020-2023,4
US-EvM,Everglades Saltwater intrusion marsh,USA,AmeriFlux,WET,2020-2023,4
US-Fcr,Cascaden Ridge Fire Scar,USA,AmeriFlux,OSH,2011-2014,4
US-Hn2,Hanford 100H grassland,USA,AmeriFlux,GRA,2015-2018,4
US-HWB,USDA ARS Pasture Sytems and Watershed Management Research Unit- Hawbecker Site,USA,AmeriFlux,CVM,2015-2018,4
US-Ivo,Ivotuk,USA,AmeriFlux,WET,2004-2007,4
US-KPL,Lily Lake Fen,USA,AmeriFlux,WET,2021-2024,4
US-Me5,Metolius-first young aged pine,USA,AmeriFlux,ENF,1999-2002,4
US-RGB,Butte County Rice Farm,USA,AmeriFlux,CRO,2021-2024,4
US-Ro3,Rosemount- G19,USA,AmeriFlux,CRO,2004-2007,4
US-RRC,Rice Rivers Center Marsh,USA,AmeriFlux,WET,2022-2025,4
US-SHC,Sagehen Creek Field Station,USA,AmeriFlux,ENF,2017-2020,4
US-Srr,Suisun marsh - Rush Ranch,USA,AmeriFlux,WET,2014-2017,4
US-UTB,UFLUX Bonneville Salt Flats,USA,AmeriFlux,BSV,2021-2024,4
US-Wi4,Mature red pine (MRP),USA,AmeriFlux,ENF,2002-2005,4
AT-Mmg,Mieming,Austria,ICOS,ENF,2021-2024,4
BE-Lcr,Lochristi,Belgium,ICOS,DBF,2019-2022,4
CH-Rh1,Ruethi peatland reference,Switzerland,ICOS,GRA,2018-2021,4
CH-Rh2,Ruethi peatland covered,Switzerland,ICOS,GRA,2018-2021,4
DE-Dgw,Dagowsee,Germany,ICOS,WAT,2015-2018,4
DE-Hdn,Heydenhof,Germany,ICOS,CRO,2020-2023,4
DE-Rns,Reinshof,Germany,ICOS,CRO,2021-2024,4
DK-Vng,Voulundgaard,Denmark,ICOS,CRO,2020-2023,4
ES-Crg,Caroig,Spain,ICOS,CSH,2021-2024,4
ES-Pdu,Padul,Spain,ICOS,WET,2014-2017,4
FI-Nsv,Naarasneva,Finland,ICOS,CVM,2021-2024,4
FI-Rk2,Ranskalankorpi,Finland,ICOS,ENF,2020-2023,4
FI-Ruk,Ruukki,Finland,ICOS,CRO,2020-2023,4
FR-Lam,Lamasquere,France,ICOS,CRO,2021-2024,4
GH-Ank,Ankasa,Ghana,ICOS,EBF,2011-2014,4
IT-BsB,Bussoleno Bosco,Italy,ICOS,DBF,2021-2024,4
IT-CA1,Castel d'Asso1,Italy,ICOS,DBF,2011-2014,4
IT-CA2,Castel d'Asso2,Italy,ICOS,CRO,2011-2014,4
IT-CA3,Castel d'Asso3,Italy,ICOS,DBF,2011-2014,4
JP-Hc3,Hachihama Experimental Farm Double Crop,Japan,ICOS,CRO,2005-2008,4
JP-Sb1,Sarobetsu Mire Moss,Japan,ICOS,WET,2007-2010,4
JP-Sb2,Sarobetsu Mire Sasa,Japan,ICOS,WET,2007-2010,4
JP-Toc,Tomakomai Crane site,Japan,ICOS,DBF,2011-2014,4
KH-Kmp,Kampong Thom Lowland Dry Evergreen Forest,Cambodia,ICOS,EBF,2011-2014,4
KR-AdC,Anmyeondo Coniferous forest,South Korea,ICOS,ENF,2015-2018,4
KR-GmP,Gimje Rice-barley double cropping Paddy Field,South Korea,ICOS,CRO,2011-2014,4
KR-HcM,Hongcheon Mixed forest,South Korea,ICOS,MF,2015-2018,4
KR-Hnm,Haenam Farmland (HFK),South Korea,ICOS,CRO,2016-2019,4
KR-JjM,Jeju Mixed forest,South Korea,ICOS,MF,2015-2018,4
KR-PcD,Pyeongchang Deciduous forest,South Korea,ICOS,DBF,2015-2018,4
KR-ScC,Samcheok Coniferous forest,South Korea,ICOS,ENF,2015-2018,4
KR-WdE,Wando Evergreen broadleaf forest,South Korea,ICOS,EBF,2015-2018,4
NO-Ikr,Iskoras,Norway,ICOS,WET,2019-2022,4
UK-BnB,Ballynahone Bog,United Kingdom,ICOS,GRA,2021-2024,4
VU-Coc,Cocoflux,Vanuatu,ICOS,EBF,2001-2004,4
NZ-ADw,Ashley Dene wet,New Zealand,TERN,CRO,2015-2018,4
AR-SLu,San Luis,Argentina,AmeriFlux,MF,2009-2011,3
AR-TF1,Rio Moat bog,Argentina,AmeriFlux,WET,2016-2018,3
AR-TF2,Rio Pipo bog,Argentina,AmeriFlux,WET,2016-2018,3
AU-Emr,Emerald,Australia,AmeriFlux,GRA,2011-2013,3
AU-Fog,Fogg Dam,Australia,AmeriFlux,WET,2006-2008,3
AU-RDF,"Red Dirt Melon Farm, Northern Territory",Australia,AmeriFlux,WSA,2011-2013,3
AU-TTE,Ti Tree East,Australia,AmeriFlux,GRA,2012-2014,3
AU-Ync,Yanco,Australia,AmeriFlux,GRA,2012-2014,3
CA-BOU,Bouleau Peatland,Canada,AmeriFlux,WET,2018-2020,3
CA-EM1,Newdale Manitoba,Canada,AmeriFlux,WET,2021-2023,3
CA-EM2,Shoal Lake Manitoba,Canada,AmeriFlux,WET,2021-2023,3
CA-MA1,Manitoba Agricultural Site 1,Canada,AmeriFlux,CRO,2009-2011,3
CA-MA2,Manitoba Agricultural Site 2,Canada,AmeriFlux,CRO,2009-2011,3
CA-MA3,Manitoba Agricultural Site 3,Canada,AmeriFlux,GRA,2009-2011,3
CN-Cha,Changsha(Paddy Rice),China,AmeriFlux,MF,2003-2005,3
CN-Qia,Qianyanzhou,China,AmeriFlux,ENF,2003-2005,3
CN-Sw2,Siziwang Grazed (SZWG),China,AmeriFlux,GRA,2010-2012,3
ES-LgS,Laguna Seca,Spain,AmeriFlux,OSH,2007-2009,3
FI-Lom,Lompolojankka,Finland,AmeriFlux,WET,2007-2009,3
IT-La2,Lavarone2,Italy,AmeriFlux,ENF,2000-2002,3
IT-PT1,Parco Ticino forest,Italy,AmeriFlux,DBF,2002-2004,3
PA-SPn,Sardinilla Plantation,Panama,AmeriFlux,DBF,2007-2009,3
PA-SPs,Sardinilla-Pasture,Panama,AmeriFlux,GRA,2007-2009,3
US-A32,ARM-SGP Medford hay pasture,USA,AmeriFlux,GRA,2015-2017,3
US-CRT,Curtice Walter-Berger cropland,USA,AmeriFlux,CRO,2011-2013,3
US-DS1,Staten Corn 1,USA,AmeriFlux,CRO,2018-2020,3
US-EA5,Uvalde Ranch Mesquite Woodland,USA,AmeriFlux,CSH,2021-2023,3
US-RGF,Stanislaus County Forage Farm,USA,AmeriFlux,CRO,2023-2025,3
US-RGW,Desha County Rice Farm,USA,AmeriFlux,CRO,2022-2024,3
US-Snf,Sherman Barn,USA,AmeriFlux,GRA,2018-2020,3
US-Tw5,East Pond Wetland,USA,AmeriFlux,WET,2018-2020,3
US-UTV,UFLUX Desert View,USA,AmeriFlux,CRO,2023-2025,3
US-Wi3,Mature hardwood (MHW),USA,AmeriFlux,DBF,2002-2004,3
US-WPT,Winous Point North Marsh,USA,AmeriFlux,WET,2011-2013,3
BJ-Db1,DANGBO,Benin,ICOS,CRO,2022-2024,3
BW-Gum,Guma,Botswana,ICOS,WET,2018-2020,3
CN-Qng,Qinling,China,ICOS,DNF,2022-2024,3
CN-Yan,Yanchi Planted Shrubs,China,ICOS,OSH,2016-2018,3
DE-Hzd,Hetzdorf,Germany,ICOS,DBF,2022-2024,3
DE-SfN,Schechenfilz Nord,Germany,ICOS,—,2012-2014,3
DK-Gds,Gludsted Plantage,Denmark,ICOS,ENF,2020-2022,3
DK-Skj,Skjern,Denmark,ICOS,WET,2020-2022,3
ES-VDA,Vall d Alinya (Lleida),Spain,ICOS,GRA,2022-2024,3
FR-Lqu,Laqueuille,France,ICOS,GRA,2022-2024,3
FR-Lus,Lusignan,France,ICOS,GRA,2022-2024,3
IT-Noe,Arca di Noe - Le Prigionette,Italy,ICOS,CSH,2022-2024,3
JP-Tmk,Tomakomai Flux Research Site,Japan,ICOS,DNF,2001-2003,3
KE-Aq2,Ausquest 2,Kenya,ICOS,CRO,2022-2024,3
KR-GmR,Gimje Rice Paddy,South Korea,ICOS,CRO,2017-2019,3
KR-GmS,Gimje Soybean Field,South Korea,ICOS,CRO,2017-2019,3
KR-HPK,Haenam Paddy-field,South Korea,ICOS,CRO,2016-2018,3
KR-UAO,Uiseong Apple Orchard,South Korea,ICOS,CRO,2017-2019,3
ML-Kem,Kelma,Mali,ICOS,WSA,2007-2009,3
MN-Udg,Udleg practice forest,Mongolia,ICOS,DNF,2010-2012,3
RU-Ha1,Hakasia steppe,Russia,ICOS,GRA,2002-2004,3
SE-Sto,Abisko-Stordalen Palsa Bog,Sweden,ICOS,WET,2022-2024,3
SE-Trb,Trollberget,Sweden,ICOS,WET,2021-2023,3
UK-CCr,Cors Caron,United Kingdom,ICOS,GRA,2022-2024,3
UK-GaB,Garry Bog,United Kingdom,ICOS,GRA,2022-2024,3
UK-Gnn,Glenullin,United Kingdom,ICOS,GRA,2022-2024,3
UK-Gwr,Glenwherry,United Kingdom,ICOS,GRA,2022-2024,3
AU-Ade,Adelaide River,Australia,TERN,WSA,2007-2009,3
NZ-ADd,Ashley Dene dry,New Zealand,TERN,CRO,2016-2018,3
AR-Bal,Balcarce BA,Argentina,AmeriFlux,CRO,2012-2013,2
AU-GWW,Great Western Woodlands,Australia,AmeriFlux,SAV,2013-2014,2
BR-CST,Caatinga Serra Talhada,Brazil,AmeriFlux,DNF,2014-2015,2
CA-CF1,Churchill Fen Site 1,Canada,AmeriFlux,WET,2007-2008,2
CN-Du3,Duolun Degraded Meadow,China,AmeriFlux,GRA,2009-2010,2
DE-Zrk,Zarnekow,Germany,AmeriFlux,WET,2013-2014,2
IT-Isp,Ispra ABC-IS,Italy,AmeriFlux,DBF,2013-2014,2
SJ-Blv,Bayelva Spitsbergen,Svalbard and Jan Mayen,AmeriFlux,SNO,2008-2009,2
US-A74,ARM SGP milo field,USA,AmeriFlux,CRO,2016-2017,2
US-ARb,ARM Southern Great Plains burn site- Lamont,USA,AmeriFlux,GRA,2005-2006,2
US-ARc,ARM Southern Great Plains control site- Lamont,USA,AmeriFlux,GRA,2005-2006,2
US-ASH,USSL San Joaquin Valley Almond High Salinity,USA,AmeriFlux,DBF,2016-2017,2
US-ASM,USSL San Joaquin Valley Almond Medium Salinity,USA,AmeriFlux,DBF,2016-2017,2
US-CAK,Council Alaska Tundra,USA,AmeriFlux,GRA,2024-2025,2
US-CS1,Central Sands Irrigated Agricultural Field,USA,AmeriFlux,CRO,2018-2019,2
US-CS3,Central Sands Irrigated Agricultural Field,USA,AmeriFlux,CRO,2019-2020,2
US-CS4,Central Sands Irrigated Agricultural Field,USA,AmeriFlux,CRO,2020-2021,2
US-CS6,Central Sands Irrigated Agricultural Field,USA,AmeriFlux,CRO,2022-2023,2
US-EA6,Camp Wood Shield Ranch Oak Savannah,USA,AmeriFlux,WSA,2023-2024,2
US-Hn3,Hanford 100H sagebrush,USA,AmeriFlux,OSH,2017-2018,2
US-KS1,Kennedy Space Center (slash pine),USA,AmeriFlux,ENF,2002-2003,2
US-KS3,Kennedy Space Center (salt marsh),USA,AmeriFlux,WET,2018-2019,2
US-Lin,Lindcove Orange Orchard,USA,AmeriFlux,CRO,2009-2010,2
US-LWW,Little Washita Watershed,USA,AmeriFlux,GRA,1997-1998,2
US-Me1,Metolius - Eyerly burn,USA,AmeriFlux,ENF,2004-2005,2
US-PAS,"Florida, Paspalum notatum pasture",USA,AmeriFlux,GRA,2021-2022,2
US-PSH,USSL San Joaquin Valley Pistachio High,USA,AmeriFlux,DBF,2016-2017,2
US-PSL,USSL San Joaquin Valley Pistachio Low,USA,AmeriFlux,DBF,2016-2017,2
US-Tw2,Twitchell Corn,USA,AmeriFlux,CRO,2012-2013,2
US-UM3,Douglas Lake,USA,AmeriFlux,WAT,2013-2014,2
US-UTD,UFLUX Dugout Ranch,USA,AmeriFlux,CRO,2023-2024,2
US-UTE,UFLUX Escalante,USA,AmeriFlux,CRO,2024-2025,2
US-UTJ,UFLUX Bluff,USA,AmeriFlux,CRO,2024-2025,2
US-UTP,UFLUX Great Salt Lake Phragmites,USA,AmeriFlux,WET,2024-2025,2
US-Wi6,Pine barrens #1 (PB1),USA,AmeriFlux,OSH,2002-2003,2
US-Wi9,Young Jack pine (YJP),USA,AmeriFlux,ENF,2004-2005,2
BW-Nxr,Nxaraga,Botswana,ICOS,GRA,2019-2020,2
CH-Crs,Cressier,Switzerland,ICOS,GRA,2015-2016,2
CH-Frk,Furka,Switzerland,ICOS,GRA,2013-2014,2
DE-Amv,Amtsvenn,Germany,ICOS,WET,2023-2024,2
DE-Brs,Braunschweig,Germany,ICOS,CRO,2023-2024,2
DE-Fen,Fendt,Germany,ICOS,GRA,2023-2024,2
DE-Gwg,Graswang,Germany,ICOS,GRA,2023-2024,2
DE-SbM,Sonnenberger Moor,Germany,ICOS,WET,2023-2024,2
DK-RCW,Riso Campus Willow,Denmark,ICOS,DBF,2023-2024,2
EE-Pts,Pitsalu,Estonia,ICOS,WET,2022-2023,2
ES-Mzn,Manzanera,Spain,ICOS,EBF,2023-2024,2
FI-Sod,Sodankyla,Finland,ICOS,ENF,2023-2024,2
GL-ZaF,Zackenberg Fen,Greenland,ICOS,WET,2023-2024,2
IT-Bsn,Bussoleno,Italy,ICOS,GRA,2020-2021,2
JP-Hc2,Hachihama Experimental Farm,Japan,ICOS,CRO,2003-2004,2
JP-Nuf,Nagoya University Forest,Japan,ICOS,DBF,2000-2001,2
JP-Om2,Farm field in Osaka Metropolitan University,Japan,ICOS,GRA,2022-2023,2
JP-Ozm,Oizumi Urban Park,Japan,ICOS,URB,2015-2016,2
JP-Tkb,Tsukuba Experimental Watershed,Japan,ICOS,ENF,2018-2019,2
KR-Nj1,Naju Rice Paddy 1,South Korea,ICOS,CRO,2023-2024,2
KR-Nj2,Naju Rice Paddy 2,South Korea,ICOS,CRO,2023-2024,2
NO-Hur,Hurdal,Norway,ICOS,ENF,2023-2024,2
RU-Fy3,Fyodorovskoye Clear-cut,Russia,ICOS,OSH,2016-2017,2
RU-NeB,Neleger Burnt Forest,Russia,ICOS,GRA,1999-2000,2
UK-Ags,Anglesey,United Kingdom,ICOS,GRA,2023-2024,2
UK-Cvn,Coveney,United Kingdom,ICOS,GRA,2023-2024,2
UK-HgF,High Fen,United Kingdom,ICOS,GRA,2023-2024,2
UK-HpF,Hope Farm,United Kingdom,ICOS,CRO,2023-2024,2
ZA-Spk,Spioenkop,South Africa,ICOS,GRA,2023-2024,2
ZA-Uby,Umhlabuyalingana,South Africa,ICOS,GRA,2023-2024,2
AU-Lox,Loxton Eddy Covariance Site,Australia,TERN,DBF,2008-2009,2
AU-Rob,Robson Creek,Australia,AmeriFlux,EBF,2014-2014,1
CA-HPC,Havikpak Creek,Canada,AmeriFlux,ENF,2018-2018,1
CA-Mtk,Mittimatalik (Pond Inlet) Tundra,Canada,AmeriFlux,GRA,2024-2024,1
CA-SMC,Smith Creek,Canada,AmeriFlux,ENF,2018-2018,1
DK-Fou,Foulum,Denmark,AmeriFlux,CRO,2005-2005,1
ES-Ln2,Lanjaron-Salvage logging,Spain,AmeriFlux,OSH,2009-2009,1
US-A37,ARM-SGP-Waukomis,USA,AmeriFlux,CVM,2024-2024,1
US-A39,ARM-SGP-Morrison,USA,AmeriFlux,CRO,2024-2024,1
US-CS5,Central Sands Irrigated Agricultural Field,USA,AmeriFlux,CRO,2021-2021,1
US-CS8,Central Sands Irrigated Agricultural Field,USA,AmeriFlux,CRO,2023-2023,1
US-HVs,Happy Valley Wet Sedge Tundra,USA,AmeriFlux,WET,1995-1995,1
US-PFb,NW1 Pine-1 CHEESEHEAD 2019,USA,AmeriFlux,ENF,2019-2019,1
US-PFc,NW2 Aspen-1 CHEESEHEAD 2019,USA,AmeriFlux,DBF,2019-2019,1
US-PFd,NW3 Tussock-1 CHEESEHEAD 2019,USA,AmeriFlux,WET,2019-2019,1
US-PFe,NW4 Lake-1 CHEESEHEAD 2019,USA,AmeriFlux,WAT,2019-2019,1
US-PFg,NE1 Pine-2 CHEESEHEAD 2019,USA,AmeriFlux,ENF,2019-2019,1
US-PFh,NE2 Pine-3 CHEESEHEAD 2019,USA,AmeriFlux,ENF,2019-2019,1
US-PFi,NE3 Hardwood-1 CHEESEHEAD 2019,USA,AmeriFlux,DBF,2019-2019,1
US-PFj,NE4 Maple-1 CHEESEHEAD 2019,USA,AmeriFlux,DBF,2019-2019,1
US-PFk,SW1 Aspen-2 CHEESEHEAD 2019,USA,AmeriFlux,DBF,2019-2019,1
US-PFL,SW2 Aspen-3 CHEESEHEAD 2019,USA,AmeriFlux,DBF,2019-2019,1
US-PFm,SW3 Hardwood-2 CHEESEHEAD 2019,USA,AmeriFlux,DBF,2019-2019,1
US-PFn,SW4 Hardwood-3 CHEESEHEAD 2019,USA,AmeriFlux,DBF,2019-2019,1
US-PFp,SE2 Hardwood-4 CHEESEHEAD 2019,USA,AmeriFlux,DBF,2019-2019,1
US-PFq,SE3 Aspen-4 CHEESEHEAD 2019,USA,AmeriFlux,DBF,2019-2019,1
US-PFr,SE4 Tussock-2 CHEESEHEAD 2019,USA,AmeriFlux,WET,2019-2019,1
US-PFt,SE6 Pine-4 CHEESEHEAD 2019,USA,AmeriFlux,ENF,2019-2019,1
US-Sag,Sag River,USA,AmeriFlux,WET,1996-1996,1
US-Wi0,Young red pine (YRP),USA,AmeriFlux,ENF,2002-2002,1
US-Wi1,Intermediate hardwood (IHW),USA,AmeriFlux,DBF,2003-2003,1
US-Wi2,Intermediate red pine (IRP),USA,AmeriFlux,ENF,2003-2003,1
US-Wi5,Mixed young jack pine (MYJP),USA,AmeriFlux,ENF,2004-2004,1
US-Wi7,Red pine clearcut (RPCC),USA,AmeriFlux,OSH,2005-2005,1
US-Wi8,Young hardwood clearcut (YHW),USA,AmeriFlux,DBF,2002-2002,1
CH-For,Forel,Switzerland,ICOS,CRO,2024-2024,1
CH-Tnk,Tanikon,Switzerland,ICOS,CRO,2024-2024,1
CN-Wnb,Wulanbuhe,China,ICOS,BSV,2021-2021,1
DE-Etn,Ettenheim,Germany,ICOS,DBF,2024-2024,1
ES-HdD,Hinojosa del Duque,Spain,ICOS,SAV,2024-2024,1
FI-Ant,Anttila,Finland,ICOS,CRO,2022-2022,1
FI-Pap,Pappilansuo,Finland,ICOS,CRO,2022-2022,1
FI-Sar,Sarkisuo,Finland,ICOS,CRO,2022-2022,1
IE-Gwr,Gowran,Ireland,ICOS,CRO,2016-2016,1
JP-KaP,Kasumigaura lotus paddy,Japan,ICOS,CRO,1997-1997,1
KE-Aq1,Ausquest 1,Kenya,ICOS,CRO,2019-2019,1
KR-TwB,Taehwa Broadleaf forest,South Korea,ICOS,DBF,2024-2024,1
KR-TwC,Taehwa Coniferous forest,South Korea,ICOS,ENF,2024-2024,1
RU-Tur,Tura,Russia,ICOS,DNF,2004-2004,1
ZA-Jks,Jonkershoek,South Africa,ICOS,GRA,2024-2024,1
